Référence,lien,nom,Marque,image_url,boutique,Taille Ecran,Résolution,Processeur,Référence processeur,Mémoire RAM,Disque Dur,Type de disque dur,Carte Graphique,Système D’exploitation,Pc Gamer,prix
X1504VA-NJ784W-16G,https://www.graiet.tn/pc-portable-asus-ultra-3-i3-100u-8go-512ssd-win-11.html,Pc Portable ASUS ULTRA 3 | Intel i3 - 16 Go - 512 SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-ultra-3-100u-8go-512ssd-win11-quiet-blue_5__1.webp,graiet,15.6 “,Full HD 1080p,Hélio G99,,16 G,512 Go SSD,,Intel HD Graphics,Windows 11,Non,"1 339,00 TND"
845B6EA,https://www.graiet.tn/pc-portable-hp15-ryzen-5-7520-8go-512ssd-win-11-nateurel-silver.html,Pc Portable HP 15 RYZEN 5 | 8GO - 512SSD - SILVER,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp15-ryzen-5-7520-8go-512ssd-win-11-nateurel-silver_2_.webp,graiet,15.6 “,Full HD 1080p,Hélio G99,,8 G,512 Go SSD,,AMD Radeon ™ Intégrée,Windows 11,Non,"1 339,00 TND"
886J7EA,https://www.graiet.tn/hp-pc-portable-15-fc0017nk-ryzen-5-7520u-8go-512ssd-silver.html,Pc Portable HP 15 | 8GO - 512SSD - SILVER,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp-15-fc0017nk-ryzen-5-7520u-8go-512ssd-silver-886j7ea.webp,graiet,15.6 “,Full HD 1080p,Hélio G99,,8 G,512 Go SSD,,Intel® Iris® X,Windows 11,Non,"1 339,00 TND"
X1504VA-NJ784W-24G,https://www.graiet.tn/pc-portable-asus-ultra-3-i3-100u-24go-512ssd-win-11.html,Pc Portable ASUS ULTRA 3 | Intel i3 - 24 Go - 512 SSD - Bleu,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-ultra-3-100u-8go-512ssd-win11-quiet-blue_5__1_1.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3,,24Go,512 Go SSD,,Intel HD Graphics,Windows 11,Non,"1 389,00 TND"
X1504VA-NJ1000W-24G,https://www.graiet.tn/pc-portable-asus-vivobook-15-x1504va-i3-13e-gen-24go-win11-avec-sac-a-dos.html,Pc Portable ASUS VIVOBOOK 15 | Intel i3 - 24 Go - 512Go SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-vivobook-asus-15-x1504va-i3-13e-gen-8go-512ssd-win11-avec-sac-a-dos_1__2.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,24Go,512 Go SSD,,Intel HD Graphics,Windows 11,Non,"1 389,00 TND"
V3520-I5-512SSD,https://www.graiet.tn/dell-pc-portable-vostro-3520-i5-12e-gen-8go-512ssd-120hz-noir.html,Pc Portable DELL VOSTRO 3520 | Intel i5 - 8 Go - 512 SSD - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-dell-vostro-3520-i5-12e-gen-8go-512ssd-120hz-noir_4_.jpg,graiet,15.6 “,Full HD 1080p,Intel Core i5 12è Gén,,8 G,512 Go SSD,,Intel UHD Graphics,Ubuntu,Non,"1 389,00 TND"
82QD00E4FG,https://www.graiet.tn/lenovo-pc-portable-ideapad-15iau7-i5-12e-gen-8go-512ssd-fd-gris-avec-sacoche.html,PC Portable LENOVO IdeaPad 1 | Intel i5 - 8 Go - 512Go SSD - Gris,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-lenovo-ideapad-15iau7-i5-12e-gen-8go-512ssd-fd-gris-avec-sacoche_2_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i5 12è Gén,,8 G,512 Go SSD,,Intel UHD Graphics,FreeDos,Non,"1 419,00 TND"
V3520-I5-512SSD-16G,https://www.graiet.tn/dell-pc-portable-vostro-3520-i5-12e-gen-16go-512ssd-120hz-noir.html,Pc Portable DELL VOSTRO 3520 | Intel i5 - 16 Go - 512 SSD - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-dell-vostro-3520-i5-12e-gen-16go-512ssd-120hz-noir_4_.jpg,graiet,15.6 “,Full HD 1080p,Intel Core i5 12è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Ubuntu,Non,"1 459,00 TND"
V3520-I5-512SSD-16G,https://www.graiet.tn/pc-portable-dell-vostro-3520-i5-12e-gen-16go-512ssd-120hz-windows-11.html,Pc Portable DELL VOSTRO 3520 | Intel i5 - 16 Go - 512 SSD - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-dell-vostro-3520-i5-12e-gen-16go-512ssd-120hz-noir_4_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i5 12è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 479,00 TND"
82R400RXFG,https://www.graiet.tn/lenovo-pc-portable-amd-ryzen-7-5700-8go-512ssd-fd-avec-sacoche.html,Pc Portable LENOVO RYZEN 7 | 8 Go - 512 SSD - Windows non inclus - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/l/e/lenovo-pc-portable-amd-ryzen-7-5700-8go-512ssd-fd-avec-sacoche.webp,graiet,15.6 “,Full HD 1080p,Hélio G99,,8 G,512 Go SSD,,AMD Radeon ™ Intégrée,FreeDos,Non,"1 499,00 TND"
