reference,lien,nom,Marque,image_url,boutique,Taille De L'ecran Pc,Résolution écran,Processeur,reference Processeur,Memoire RAM,CAPACITÉ DE DISQUE,Type de disque dur,Carte Graphique,Systeme D'exploitation,Gamer,prix
A2MM1EA,https://agora.tn/fr/pc-portable/16487-pc-portable-hp-15-fd0052nk-i3-n305-8go-512go-ssd-silver.html,PC PORTABLE HP 15-FD0052NK I3-N305 8GO 512GO SSD SILVER,,https://agora.tn/fr/45775-home_default/pc-portable-hp-15-fd0052nk-i3-n305-8go-512go-ssd-silver.jpg,agora,"15.6""",,Intel Core i3,,8 Go,512 Go SSD,,Graphique Intégrée,FreeDos,Non,"1 149,000 TND"
A2AP0EA,https://agora.tn/fr/pc-portable/15907-pc-portable-hp-15-fd0053nk-i3-n305-8go-512go-ssd-silver.html,PC PORTABLE HP 15-FD0053NK I3-N305 8GO 512GO SSD SILVER,,https://agora.tn/fr/44661-home_default/pc-portable-hp-15-fd0053nk-i3-n305-8go-512go-ssd-silver.jpg,agora,"15.6""",,Intel Core i3,,8 Go,512 Go SSD,,Graphique Intégrée,FreeDos,Non,"1 149,000 TND"
A2AN9EA,https://agora.tn/fr/pc-portable/15906-pc-portable-hp-15-fd0051nk-i3-n305-8go-512go-ssd-gold.html,PC PORTABLE HP 15-FD0051NK I3-N305 8GO 512GO SSD GOLD,,https://agora.tn/fr/44658-home_default/pc-portable-hp-15-fd0051nk-i3-n305-8go-512go-ssd-gold.jpg,agora,"15.6""",,Intel Core i3,,8 Go,512 Go SSD,,Graphique Intégrée,FreeDos,Non,"1 169,000 TND"
A2AP1EA,https://agora.tn/fr/pc-portable/15898-pc-portable-hp-15-fd0055nk-i3-n305-8go-512go-ssd-noir.html,PC PORTABLE HP 15-FD0055NK I3-N305 8GO 512GO SSD NOIR,,https://agora.tn/fr/44630-home_default/pc-portable-hp-15-fd0055nk-i3-n305-8go-512go-ssd-noir.jpg,agora,"15.6""",,Intel Core i3,,8 Go,512 Go SSD,,Graphique Intégrée,FreeDos,Non,"1 169,000 TND"
N1612PVNB3530EMEA0,https://agora.tn/fr/pc-portable/15203-pc-portable-dell-vostro-3530-i3-1305u-8go-512go-ssd-noir.html,PC PORTABLE DELL VOSTRO 3530 I3-1305U  8GO 512GO SSD NOIR,,https://agora.tn/fr/42659-home_default/pc-portable-dell-vostro-3530-i3-1305u-8go-512go-ssd-noir.jpg,agora,"15.6""",,Intel Core i3,,8 Go,512 Go SSD,,Graphique Intégrée,Windows,Non,"1 199,000 TND"
X1504VA-NJ1000W,https://agora.tn/fr/pc-portable/16500-pc-portable-asus-x1504va-i3-1315u-8go-512go-ssd-silver.html,PC PORTABLE ASUS X1504VA I3-1315U 8GO 512GO SSD SILVER,,https://agora.tn/fr/45776-home_default/pc-portable-asus-x1504va-i3-1315u-8go-512go-ssd-silver.jpg,agora,"15.6""",,Intel Core i3,,8 Go,512 Go SSD,,Graphique Intégrée,FreeDos,Non,"1 245,000 TND"
9S7-15H112-1019,https://agora.tn/fr/pc-portable/16628-pc-portable-msi-modern-15-b12m-i3-1215u-16go-512go-ssd-noir.html,PC PORTABLE MSI MODERN 15 B12M I3-1215U 16GO 512GO SSD NOIR,,https://agora.tn/fr/46026-home_default/pc-portable-msi-modern-15-b12m-i3-1215u-16go-512go-ssd-noir.jpg,agora,"15.6""",,Intel Core i3,,16 Go,512 Go SSD,,Graphique Intégrée,FreeDos,Non,"1 399,000 TND"
N1610PVNB3520EMEA0,https://agora.tn/fr/pc-portable/15206-pc-portable-dell-vostro-3520-i5-1235u-8go-512go-ssd-noir.html,PC PORTABLE DELL VOSTRO 3520 I5-1235U 8GO 512GO SSD NOIR,,https://agora.tn/fr/42672-home_default/pc-portable-dell-vostro-3520-i5-1235u-8go-512go-ssd-noir.jpg,agora,"15.6""",,Intel Core i5,,8 Go,512 Go SSD,,Graphique Intégrée,Ubuntu,Non,"1 425,000 TND"
82RK0174FG,https://agora.tn/fr/pc-portable/16076-pc-portable-lenovo-ideapad-3-15iau7-i5-1235u-8go-512go-ssd-bleu.html,PC PORTABLE LENOVO IDEAPAD 3 15IAU7 I5-1235U 8GO 512GO SSD BLEU,,https://agora.tn/fr/45304-home_default/pc-portable-lenovo-ideapad-3-15iau7-i5-1235u-8go-512go-ssd-bleu.jpg,agora,"15.6""",,Intel Core i5,,8 Go,512 Go SSD,,Graphique Intégrée,Windows,Non,"1 469,000 TND"
82RK016TFG,https://agora.tn/fr/pc-portable/16075-pc-portable-lenovo-ideapad-3-15iau7-i5-1235u-8go-512go-ssd-gris.html,PC PORTABLE LENOVO IDEAPAD 3 15IAU7 I5-1235U 8GO 512GO SSD GRIS,,https://agora.tn/fr/45300-home_default/pc-portable-lenovo-ideapad-3-15iau7-i5-1235u-8go-512go-ssd-gris.jpg,agora,"15.6""",,Intel Core i5,,8 Go,512 Go SSD,,Graphique Intégrée,Windows,Non,"1 469,000 TND"
81W1017HFE,https://agora.tn/fr/pc-portable/11079-pc-portable-lenovo-ideapad-3-adm-ryzen-7-8go-512go-ssd-bleu.html,PC PORTABLE LENOVO IDEAPAD 3 ADM RYZEN 7 8GO 512GO SSD BLEU,,https://agora.tn/fr/37889-home_default/pc-portable-lenovo-ideapad-3-adm-ryzen-7-8go-512go-ssd-bleu.jpg,agora,"15.6""",,AMD RYZEN 7,,8 Go,512 Go SSD,,AMD Radeon,Windows,Non,"1 489,000 TND"
83ER00H5FG,https://agora.tn/fr/pc-portable/17051-pc-portable-lenovo-ideapad-s3-i5-12450h-16go-512go-ssd-156-gris.html,"PC PORTABLE LENOVO IDEAPAD S3 I5-12450H 16GO 512GO SSD 15.6"" GRIS",,https://agora.tn/fr/47467-home_default/pc-portable-lenovo-ideapad-s3-i5-12450h-16go-512go-ssd-156-gris.jpg,agora,"15.6""",,Intel Core i5,,16 Go,512 Go SSD,,Graphique Intégrée,FreeDos,Non,"1 539,000 TND"
N3409PVNB3530EMEA01_UBU,https://agora.tn/fr/pc-portable/16506-pc-portable-dell-vostro-3530-i5-1334u-8go-512go-ssd-noir.html,PC PORTABLE DELL VOSTRO 3530 I5-1334U 8GO 512GO SSD NOIR,,https://agora.tn/fr/45913-home_default/pc-portable-dell-vostro-3530-i5-1334u-8go-512go-ssd-noir.jpg,agora,"15.6""",,Intel Core i5,,8 Go,512 Go SSD,,Graphique Intégrée,FreeDos,Non,"1 549,000 TND"
A2AP5EA,https://agora.tn/fr/pc-portable/15904-pc-portable-hp-15-fd0094nk-i5-1334u-8go-512go-ssd-bleu.html,PC PORTABLE HP 15-FD0094NK I5-1334U  8GO 512GO SSD BLEU,,https://agora.tn/fr/44648-home_default/pc-portable-hp-15-fd0094nk-i5-1334u-8go-512go-ssd-bleu.jpg,agora,"15.6""",,Intel Core i5,,8 Go,512 Go SSD,,Graphique Intégrée,FreeDos,Non,"1 585,000 TND"
83EM00GMFG,https://agora.tn/fr/pc-portable/17049-pc-portable-lenovo-ideapad-s3-i5-13420h-16go-512go-ssd-156-gris.html,"PC PORTABLE LENOVO IDEAPAD S3 I5-13420H 16GO 512GO SSD 15.6"" GRIS",,https://agora.tn/fr/47553-home_default/pc-portable-lenovo-ideapad-s3-i5-13420h-16go-512go-ssd-156-gris.jpg,agora,"15.6""",,Intel Core i5,,16 Go,512 Go SSD,,Graphique Intégrée,FreeDos,Non,"1 589,000 TND"
X1502VA-NJ231W,https://agora.tn/fr/pc-portable/15463-pc-portable-asus-vivobook-15-x1502va-i5-13500h-8go-512go-ssd-silver.html,PC PORTABLE ASUS VIVOBOOK 15 X1502VA I5-13500H 8GO 512GO SSD SILVER,,https://agora.tn/fr/48480-home_default/pc-portable-asus-vivobook-15-x1502va-i5-13500h-8go-512go-ssd-silver.jpg,agora,"15.6""",,Intel Core i5,,8 Go,512 Go SSD,,Graphique Intégrée,Windows,Non,"1 599,000 TND"
A2AP8EA,https://agora.tn/fr/pc-portable/15899-pc-portable-hp-15-fd0097nk-i5-1334u-8go-512go-ssd-noir.html,PC PORTABLE HP 15-FD0097NK I5-1334U 8GO 512GO SSD NOIR,,https://agora.tn/fr/44632-home_default/pc-portable-hp-15-fd0097nk-i5-1334u-8go-512go-ssd-noir.jpg,agora,"15.6""",,Intel Core i5,,8 Go,512 Go SSD,,Graphique Intégrée,FreeDos,Non,"1 639,000 TND"
A2AP7EA,https://agora.tn/fr/pc-portable/15902-pc-portable-hp-15-fd0095nk-i5-1334u-8go-512go-ssd-silver.html,PC PORTABLE HP 15-FD0095NK I5-1334U 8GO 512GO SSD SILVER,,https://agora.tn/fr/44640-home_default/pc-portable-hp-15-fd0095nk-i5-1334u-8go-512go-ssd-silver.jpg,agora,"15.6""",,Intel Core i5,,8 Go,512 Go SSD,,Graphique Intégrée,FreeDos,Non,"1 649,000 TND"
9D6W0EA,https://agora.tn/fr/pc-portable/16862-pc-portable-hp-15-fd0042nk-8go-512go-ssd-silver.html,PC PORTABLE HP 15-FD0042NK 8GO 512GO SSD SILVER,,https://agora.tn/fr/46716-home_default/pc-portable-hp-15-fd0042nk-8go-512go-ssd-silver.jpg,agora,"15.6""",,Intel Core i5,,8 Go,512 Go SSD,,Graphique Intégrée,Windows,Non,"1 689,000 TND"
X1502-NJ231W-16,https://agora.tn/fr/pc-portable/16709-pc-portable-asus-vivovook-15-x1502va-i5-13500h-16go-512g-ssd-silver.html,PC PORTABLE ASUS VIVOVOOK 15 X1502VA I5-13500H 16GO 512G SSD SILVER,,https://agora.tn/fr/46309-home_default/pc-portable-asus-vivovook-15-x1502va-i5-13500h-16go-512g-ssd-silver.jpg,agora,"15.6""",,Intel Core i5,,16 Go,512 Go SSD,,Graphique Intégrée,Windows,Non,"1 689,000 TND"
X1502VA-NJ147W-16,https://agora.tn/fr/pc-portable/16694-pc-portable-asus-vivovook-15-x1502va-i5-13500h-16go-512g-ssd-bleu.html,PC PORTABLE ASUS VIVOVOOK 15 X1502VA I5-13500H 16GO 512G SSD BLEU,,https://agora.tn/fr/46270-home_default/pc-portable-asus-vivovook-15-x1502va-i5-13500h-16go-512g-ssd-bleu.jpg,agora,"15.6""",,Intel Core i5,,16 Go,512 Go SSD,,Graphique Intégrée,Windows,Non,"1 689,000 TND"
