reference,link,name,brand,image_url,store,screen_size,processor,ram,SSD,HDD,gpu,os,gamer,price
B13UCX-2607XFR-16,https://www.tunisianet.com.tn/pc-portable-tunisie/79814-pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-2050-4g-16-go-512-go-ssd-gris-cosmos.html,Pc Portable Gamer MSI Thin 15 B13U / i5-13420H / RTX 2050 4G / 16 Go / 512 Go SSD / Gris Cosmos Sac à dos MSI Offert Avec Antivirus Bitdefender Internet Security / 1 Poste / 1 an,Msi,https://www.tunisianet.com.tn/431621-home/pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-2050-4g-16-go-512-go-ssd-gris-cosmos.jpg,tunisianet,14.0,Intel Core i5,16,512,0,Nvidia GeForce,FreeDos,1,2199.0
X1605VA-MB1636W-24,https://www.tunisianet.com.tn/pc-portable-tunisie/85234-pc-portable-asus-vivobook-16-x1605va-i7-13620h-24-go-512-go-ssd-windows-11-silver.html,Pc Portable ASUS Vivobook 16 X1605VA / i7-13620H / 24 Go / 512 Go SSD / Windows 11 / Silver,Asus,https://www.tunisianet.com.tn/424770-home/pc-portable-asus-vivobook-16-x1605va-i7-13620h-24-go-512-go-ssd-windows-11-silver.jpg,tunisianet,16.0,Intel Core i7,24,512,0,Integrated Graphics,Windows,0,2199.0
X1502VA-NJ256W-24,https://www.tunisianet.com.tn/pc-portable-tunisie/73203-pc-portable-asus-vivobook-15-x1502va-i9-13900h-24-go-512-go-ssd-windows-11-bleu.html,Pc Portable ASUS VivoBook 15 X1502VA / i9-13900H / 24 Go / 512 Go SSD / Windows 11 / Bleu,Asus,https://www.tunisianet.com.tn/357599-home/pc-portable-asus-vivobook-15-x1502va-i9-13900h-24-go-512-go-ssd-windows-11-bleu.jpg,tunisianet,14.0,Intel Core i9,24,512,0,Integrated Graphics,FreeDos,0,2205.0
S3605ZF-RP770-24-W11P,https://www.tunisianet.com.tn/pc-portable-tunisie/85495-pc-portable-asus-vivobook-16x-s3605zf-i5-12500h-24-go-512-go-windows-11-pro-silver-avec-sac-a-dos-asus.html,Pc Portable ASUS Vivobook 16X S3605ZF / i5-12500H / 24 Go / 512 Go / Windows 11 Pro / Silver Avec Sac à DOS ASUS,Asus,https://www.tunisianet.com.tn/426611-home/pc-portable-asus-vivobook-16x-s3605zf-i5-12500h-24-go-512-go-windows-11-pro-silver-avec-sac-a-dos-asus.jpg,tunisianet,16.0,Intel Core i7,24,512,0,Nvidia GeForce,Windows,0,2205.0
N1601PVNB3530-UBU-32W11P,https://www.tunisianet.com.tn/pc-portable-tunisie/81626-pc-portable-dell-vostro-3530-i7-1355u-32-go-512-go-ssd-noir-windows-11-pro.html,Pc Portable Dell Vostro 3530 / i7-1355U / 32 Go / 512 Go SSD / Noir / Windows 11 Pro,Dell,https://www.tunisianet.com.tn/406272-home/pc-portable-dell-vostro-3530-i7-1355u-32-go-512-go-ssd-noir-windows-11-pro.jpg,tunisianet,14.0,Intel Core i7,32,512,0,Integrated Graphics,Windows,0,2205.0
X1502VA-NJ257W-24,https://www.tunisianet.com.tn/pc-portable-tunisie/71340-pc-portable-asus-vivobook-15-x1502va-i9-13e-gen-24-go-win11-silver.html,Pc Portable Asus VivoBook 15 X1502VA / i9 13è Gén / 24 Go / Win11 / Silver,Asus,https://www.tunisianet.com.tn/346157-home/pc-portable-asus-vivobook-15-x1502va-i9-13e-gen-24-go-win11-silver.jpg,tunisianet,14.0,Intel Core i9,24,512,0,Integrated Graphics,Windows,0,2205.0
B13UCX-2607XFR-W11P,https://www.tunisianet.com.tn/pc-portable-tunisie/81462-pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-2050-4g-8-go-512-go-ssd-windows-11-pro-gris-cosmos-sac-a-dos-msi-offert.html,Pc Portable Gamer MSI Thin 15 B13U / i5-13420H / RTX 2050 4G / 8 Go / 512 Go SSD / Windows 11 Pro / Gris Cosmos Sac à dos MSI Offert Avec Antivirus Bitdefender Internet Security / 1 Poste / 1 an,Msi,https://www.tunisianet.com.tn/431622-home/pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-2050-4g-8-go-512-go-ssd-windows-11-pro-gris-cosmos-sac-a-dos-msi-offert.jpg,tunisianet,14.0,Intel Core i5,8,512,0,Nvidia GeForce,Windows,1,2209.0
P1503CVA-NJ0808-32-W11P,https://www.tunisianet.com.tn/pc-portable-tunisie/85135-pc-portable-asus-expertbook-p1-p1503cva-i7-13620h-32-go-ddr5-512-go-ssd-windows-11-pro-gris.html,Pc Portable ASUS ExpertBook P1 P1503CVA / i7-13620H / 32 Go DDR5 / 512 Go SSD / Windows 11 Pro / Gris,Asus,https://www.tunisianet.com.tn/424191-home/pc-portable-asus-expertbook-p1-p1503cva-i7-13620h-32-go-ddr5-512-go-ssd-windows-11-pro-gris.jpg,tunisianet,14.0,Intel Core i7,32,512,0,Integrated Graphics,Windows,0,2209.0
83LK006SFG-2Y-32,https://www.tunisianet.com.tn/pc-portable-tunisie/83117-pc-portable-gamer-lenovo-loq-15iax9e-i5-12450hx-rtx-2050-4g-32-go-ddr5-512-go-ssd-windows-11-gris.html,PC Portable Gamer Lenovo LOQ 15IAX9E / i5-12450HX / RTX 2050 4G / 32 Go DDR5 / 512 Go SSD / Windows 11 / Gris Avec Antivirus Bitdefender Internet Security / 1 Poste / 1 an,Lenovo,https://www.tunisianet.com.tn/431623-home/pc-portable-gamer-lenovo-loq-15iax9e-i5-12450hx-rtx-2050-4g-32-go-ddr5-512-go-ssd-windows-11-gris.jpg,tunisianet,14.0,Intel Core i5,32,512,0,Nvidia GeForce,Windows,1,2209.0
B13UCX-2607XFR-32-SS,https://www.tunisianet.com.tn/pc-portable-tunisie/80007-pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-2050-4g-32-go-512-go-ssd-gris-cosmos.html,Pc Portable Gamer MSI Thin 15 B13U / i5-13420H / RTX 2050 4G / 32 Go / 512 Go SSD / Gris Cosmos Avec Antivirus Bitdefender Internet Security / 1 Poste / 1 an,Msi,https://www.tunisianet.com.tn/431624-home/pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-2050-4g-32-go-512-go-ssd-gris-cosmos.jpg,tunisianet,14.0,Intel Core i5,32,512,0,Nvidia GeForce,FreeDos,1,2214.0
