reference,link,name,brand,image_url,store,screen_size,processor,ram,disk_capacity,gpu,os,gamer,price
X1502VA-NJ563W,https://spacenet.tn/pc-portables-pro-tunisie/89447-pc-portable-asus-vivobook-15-x1502va-i7-13gen-8go-512go-ssd-windows-11.html,Pc Portable Asus Vivobook 15 X1502VA i7 13Gén 8Go 512Go SSD Windows 11,Asus,https://spacenet.tn/284173-home_default/pc-portable-asus-vivobook-15-x1502va-i7-13gen-8go-512go-ssd-windows-11.jpg,SpaceNet,15.6,Intel Core i7,8,512 Go SSD,Intel HD,Windows 11,Non,1999.0
X1502VA-NJ654W,https://spacenet.tn/pc-portable-asus/88362-pc-portable-asus-vivobook-15-x1502va-i7-13gen-8go-512go-windows-11.html,Pc Portable Asus Vivobook 15 X1502VA i7 13Gén 8Go 512Go Windows 11,Asus,https://spacenet.tn/274975-home_default/pc-portable-asus-vivobook-15-x1502va-i7-13gen-8go-512go-windows-11.jpg,SpaceNet,15.6,Intel Core 7,8,512 Go SSD,Intel UHD,Windows 11,Non,1999.0
A0DB5EA-W11,https://spacenet.tn/pc-portable-hp/79675-pc-portable-hp-15-fd0046nk-i5-13gen-8go-512go-ssd-windows-11.html,Pc Portable HP 15-fd0046nk i5 13Gen 8Go 512Go SSD Windows 11,Hp,https://spacenet.tn/236301-home_default/pc-portable-hp-15-fd0046nk-i5-13gen-8go-512go-ssd-windows-11.jpg,SpaceNet,15.6,Intel Core i5,8,512 Go SSD,Nvidia GeForce MX570 (2 Go DDR6 dédiés),Windows 11 Pro,Non,2015.0
83EM00GNFG,https://spacenet.tn/pc-portable-tunisie/81398-pc-portable-lenovo-ideapad-slim-3-15irh8-i7-13gen-16go-512go-ssd.html,Pc Portable Lenovo IdeaPad Slim 3 15IRH8 i7 13Gén 16Go 512Go SSD,Lenovo,https://spacenet.tn/252028-home_default/pc-portable-lenovo-ideapad-slim-3-15irh8-i7-13gen-16go-512go-ssd.jpg,SpaceNet,15.6,Intel Core i7,16,512 Go SSD,Intel UHD,Free Dos,Non,1899.0
NX.EGHEF.005-20,https://spacenet.tn/pc-portable-tunisie/81867-pc-portable-acer-extensa-15-i7-11gen-20go-512go-windows-11-pro.html,Pc Portable Acer Extensa 15 i7 11Gén 20Go 512Go Windows 11 Pro,Acer,https://spacenet.tn/246879-home_default/pc-portable-acer-extensa-15-i7-11gen-20go-512go-windows-11-pro.jpg,SpaceNet,15.6,Intel Core i7,20,512 Go SSD,"NVIDIA GeForce MX350, 2Go de mémoire dédiée",Windows 11 Pro,Non,2019.0
X1704VA-AU154W-16,https://spacenet.tn/pc-portable-asus/71319-pc-portable-asus-vivobook-17-x1704va-i5-13gen-16go-512go-ssd-bleu.html,PC Portable ASUS Vivobook 17 X1704VA i5 13Gén 16Go 512Go SSD Bleu,Asus,https://spacenet.tn/196901-home_default/pc-portable-asus-vivobook-17-x1704va-i5-13gen-16go-512go-ssd-bleu.jpg,SpaceNet,17.3,Intel Core i5,16,512 Go SSD,Intel UHD,Windows 11,Non,2019.0
P1503CVA-NJ0808,https://spacenet.tn/pc-portable-asus/89167-pc-portable-asus-expertbook-p1503cva-i7-13gen-16go-512go-ssd.html,Pc Portable Asus Expertbook P1503CVA i7 13Gén 16Go 512Go SSD,Asus,https://spacenet.tn/281992-home_default/pc-portable-asus-expertbook-p1503cva-i7-13gen-16go-512go-ssd.jpg,SpaceNet,15.6,Intel Core i7,16,512 Go SSD,Intel UHD Graphics,Free Dos,Non,2029.0
83EM008XFG,https://spacenet.tn/pc-portable-tunisie/78656-pc-portable-lenovo-ideapad-slim-3-15irh8-i7-13gen-16go-512go-ssd.html,Pc Portable Lenovo IdeaPad Slim 3 15IRH8 i7 13Gén 16Go 512Go SSD,Lenovo,https://spacenet.tn/230438-home_default/pc-portable-lenovo-ideapad-slim-3-15irh8-i7-13gen-16go-512go-ssd.jpg,SpaceNet,15.6,Intel Core i7,16,512 Go SSD,Intel UHD,Free Dos,Non,1939.0
X1502VA-NJ233W-16,https://spacenet.tn/pc-portable-asus/67823-pc-portable-asus-vivobook-15-x1502va-i7-13gen-16go-512go-ssd-silver.html,Pc Portable Asus VivoBook 15 X1502VA i7 13Gén 16Go 512Go SSD Silver,Asus,https://spacenet.tn/182651-home_default/pc-portable-asus-vivobook-15-x1502va-i7-13gen-16go-512go-ssd-silver.jpg,SpaceNet,15.6,Intel Core i7,16,512 Go SSD,Intel Iris Xe,Windows 11,Non,2039.0
NX.VPXEF.004-12,https://spacenet.tn/pc-portable-tunisie/81879-pc-portable-acer-travelmate-p2-i5-11gen-12go-512go-ssd-windows-11-pro.html,Pc Portable Acer TravelMate P2 i5 11Gén 12Go 512Go SSD Windows 11 Pro,Acer,https://spacenet.tn/246945-home_default/pc-portable-acer-travelmate-p2-i5-11gen-12go-512go-ssd-windows-11-pro.jpg,SpaceNet,15.6,Intel Core i5,12,512 Go SSD,"NVIDIA GeForce MX330, 2 Go de mémoire dédiée",Windows 11 Pro,Non,2039.0
