reference,link,name,brand,image_url,store,screen_size,processor,ram,disk_capacity,gpu,os,gamer,price
82QD00FYFG-2Y,https://www.tunisianet.com.tn/pc-portable-tunisie/76828-pc-portable-lenovo-ip1-15iau7-i7-1255u-8g-512ssd-avec-sacoche-offert-.html,PC PORTABLE LENOVO IP1 / 15IAU7 I7-1255U / 8G 512SSD /  AVEC SACOCHE OFFERT,,https://www.tunisianet.com.tn/377739-home/pc-portable-lenovo-ip1-15iau7-i7-1255u-8g-512ssd-avec-sacoche-offert-.jpg,tunisianet,,Intel Core i7 | Intel Core 7,8 Go,512 Go SSD,Graphique Intégrée,FreeDos,,"1 899,000 DT"
P1503CVA-NJ0900,https://www.tunisianet.com.tn/pc-portable-tunisie/85118-pc-portable-asus-expertbook-p1-p1503cva-i7-13620h-8-go-ddr5-512-go-ssd-gris.html,Pc Portable ASUS ExpertBook P1 P1503CVA / i7-13620H / 8 Go DDR5 / 512 Go SSD / Gris,,https://www.tunisianet.com.tn/424073-home/pc-portable-asus-expertbook-p1-p1503cva-i7-13620h-8-go-ddr5-512-go-ssd-gris.jpg,tunisianet,"14"" - 15.6""",Intel Core i7 | Intel Core 7,8 Go,512 Go SSD,Graphique Intégrée,FreeDos,,"1 899,000 DT"
X1504VA-NJ686W-2Y,https://www.tunisianet.com.tn/pc-portable-tunisie/81199-pc-portable-asus-vivobook-15-x1504va-u5-120u-8-go-512-go-ssd-windows-11-silver.html,Pc Portable ASUS Vivobook 15 X1504VA / U5-120U / 8 Go / 512 Go SSD / Windows 11 / Silver,,https://www.tunisianet.com.tn/403983-home/pc-portable-asus-vivobook-15-x1504va-u5-120u-8-go-512-go-ssd-windows-11-silver.jpg,tunisianet,"14"" - 15.6""",Intel Core i5 | Intel Core 5,8 Go,512 Go SSD,Graphique Intégrée,Windows 11,,"1 899,000 DT"
BU-83EM00GNFG,https://www.tunisianet.com.tn/pc-portable-tunisie/81069-pc-portable-lenovo-ideapad-slim-3-15irh8-i7-13620h-16-go-512-go-ssd-gris-sacoche-lenovo-originale-t210-offerte-.html,Pc Portable Lenovo IdeaPad Slim 3 15IRH8 / i7-13620H / 16 Go / 512 Go SSD / Gris + Sacoche Lenovo Originale T210 Offerte,,https://www.tunisianet.com.tn/404669-home/pc-portable-lenovo-ideapad-slim-3-15irh8-i7-13620h-16-go-512-go-ssd-gris-sacoche-lenovo-originale-t210-offerte-.jpg,tunisianet,"14"" - 15.6""",Intel Core i7 | Intel Core 7,16 Go,512 Go SSD,Graphique Intégrée,FreeDos,,"1 899,000 DT"
X1605VA-MB789W-32,https://www.tunisianet.com.tn/pc-portable-tunisie/85106-pc-portable-asus-vivobook-16-x1605va-i5-13500h-32-go-512-go-ssd.html,Pc Portable ASUS VivoBook 16 X1605VA / i5-13500H / 32 Go / 512 Go SSD,,https://www.tunisianet.com.tn/423995-home/pc-portable-asus-vivobook-16-x1605va-i5-13500h-32-go-512-go-ssd.jpg,tunisianet,"16""",Intel Core i5 | Intel Core 5,32 Go,512 Go SSD,Graphique Intégrée,Windows 11,,"1 899,000 DT"
N1808PVNB3530-16-W,https://www.tunisianet.com.tn/pc-portable-tunisie/74877-pc-portable-dell-vostro-3530-i5-1335u-16-go-noir-windows-11-pro.html,Pc Portable DELL Vostro 3530 / i5-1335U / 16 Go / Noir / Windows 11 Pro,,https://www.tunisianet.com.tn/367049-home/pc-portable-dell-vostro-3530-i5-1335u-16-go-noir-windows-11-pro.jpg,tunisianet,"14"" - 15.6""",Intel Core i5 | Intel Core 5,16 Go,256 Go SSD,Nvidia GeForce,Windows 11,,"1 907,000 DT"
N1808PVNB3530EM-24,https://www.tunisianet.com.tn/pc-portable-tunisie/70335-pc-portable-dell-vostro-3530-i5-1335u-24-go-noir.html,Pc Portable DELL Vostro 3530 / i5-1335U / 24 Go / Noir,,https://www.tunisianet.com.tn/339301-home/pc-portable-dell-vostro-3530-i5-1335u-24-go-noir.jpg,tunisianet,"14"" - 15.6""",Intel Core i5 | Intel Core 5,24 Go,256 Go SSD,Nvidia GeForce,Windows 11,,"1 914,000 DT"
AB1T6EA-12,https://www.tunisianet.com.tn/pc-portable-tunisie/79161-pc-portable-hp-15-fd0080nk-i5-1334u-mx570-2g-12-go-512-go-ssd-noir.html,Pc Portable HP 15-fd0080nk / i5-1334U / MX570 2G / 12 Go / 512 Go SSD / Noir,,https://www.tunisianet.com.tn/393728-home/pc-portable-hp-15-fd0080nk-i5-1334u-mx570-2g-12-go-512-go-ssd-noir.jpg,tunisianet,"14"" - 15.6""",Intel Core i5 | Intel Core 5,12 Go,512 Go SSD,Nvidia GeForce,FreeDos,,"1 919,000 DT"
AB1T5EA,https://www.tunisianet.com.tn/pc-portable-tunisie/78728-pc-portable-hp-15-fd0079nk-i5-1334u-mx570-2g-8-go-512-go-ssd-silver.html,Pc Portable HP 15-fd0079nk / i5-1334U / MX570 2G / 8 Go / 512 Go SSD / Silver,,https://www.tunisianet.com.tn/391224-home/pc-portable-hp-15-fd0079nk-i5-1334u-mx570-2g-8-go-512-go-ssd-silver.jpg,tunisianet,"14"" - 15.6""",Intel Core i5 | Intel Core 5,8 Go,512 Go SSD,Nvidia GeForce,FreeDos,,"1 919,000 DT"
AB1T5EA-12,https://www.tunisianet.com.tn/pc-portable-tunisie/79088-pc-portable-hp-15-fd0079nk-i5-1334u-mx570-2g-12-go-512-go-ssd-silver.html,Pc Portable HP 15-fd0079nk / i5-1334U / MX570 2G / 12 Go / 512 Go SSD / Silver,,https://www.tunisianet.com.tn/393347-home/pc-portable-hp-15-fd0079nk-i5-1334u-mx570-2g-12-go-512-go-ssd-silver.jpg,tunisianet,"14"" - 15.6""",Intel Core i5 | Intel Core 5,12 Go,512 Go SSD,Nvidia GeForce,FreeDos,,"1 919,000 DT"
